"id","state","city","district","h_name","address","pincode","contact","helpline","fax","category","website","email","blood_component","blood_group","service_time","latitude","longitude"
"1356","Maharashtra","Mumbai","Mumbai","St. Georges Hospital","St. Georges Hospital Fort. Mumbai","400001","022 22620344 , 022 22621420, 022 22620242,022 22624464","NA","022 22624464","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1357","Maharashtra","Mumbai","Mumbai","Sir J.J.Group of Hospital","Main Building, Gr.floor, Sir J.J.Hospital Byculla Mumbai","400008","022 23739400, 022 23735599","NA","022 23735599","NA","NA","NA","NA","NA","NA","NA","NA"
"1358","Maharashtra","Mumbai","Mumbai","Mumbai Port Trust Blood Bank","Nadkarni Park, Wadala (E) Mumbai","400037","022 66567722, 022 4145115","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1359","Maharashtra","Mumbai","Mumbai","G.T.Hospital Blood Bank","Near L.T.Marg Police Station Mumbai","400001","022 22621468, 022 22031111","NA","022 22630553","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1360","Maharashtra","Mumbai","Mumbai","INS, Ashwini Blood Bank","Colaba Mumbai","400005","022 2215166, 022 22151666","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1361","Maharashtra","Mumbai","Mumbai","Tata Memorial Hospital Blood Bank","5th Floor, Service Block,,Dr.E.Borges Road Parel Mumbai","400012","022 24177000, 022 24127096","NA","022 24146937","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1362","Maharashtra","Mumbai","Mumbai","Dr. Babasaheb Ambedkar Memorial Hospital, Central Railway Hospital Blood Bank","Central Railway byculla(E) Mumbai","400027","022 23791964, 022 23717246, 022 67452926, 022 67452950, 022 23726588","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1363","Maharashtra","Mumbai","Mumbai","Cama and Albles Hospital, Abdul Fazalbhoy Blood Bank","Mahapalika Marg, Mumbai CST","400001","022 22611648","NA","022 22621197","NA","NA","NA","NA","NA","NA","[=19]19","[=73]73"
"1364","Maharashtra","Mumbai","Mumbai","Bhabha Atomic Research Centre Hospital Blood Bank","BARC Hospital, Anushakti Nagar Mumbai","400094","022 25598353, 022 25598361, 022 25558494","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1365","Maharashtra","Mumbai","Mumbai","Esic Model Hospital","ODC Blood Bank, Room No-20/A, Central Road MIDC Andheri (E),Mumbai","440002","022 28321361","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1366","Maharashtra","Mumbai","Mumbai","Anviksha Pathological Laboratory Blood Bank","Paras Darshan, M.G.Road, Ghatkopar-E Mumbai","400077","022 21026290, 022 21025927","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1367","Maharashtra","Mumbai","Mumbai","Asian Heart Institute and Research center","ICICI Tower, Bandra Kurla Complex , Bandra (E) Mumbai","400051","022 66986666, 022 26542088,022 66986506, 022 26508487","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1368","Maharashtra","Mumbai","Mumbai","West Coast Blood Bank","Basement 101,Moon Bldg,798, Mori Road, Mahim(W),Mumbai","400016","022 24444544, 022 24448899","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1369","Maharashtra","Mumbai","Mumbai","Fortis Hospital Blood Bank","Mulund Goregaon Link Road, Nahur , Mumbai","400078","022 67994370, 022 67994242","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1370","Maharashtra","Mumbai","Mumbai","Kohinoor hospital blood bank","Upper basement, room no - 29 to 43, Kirol road, off L.B.S Marg, Kurla (w)","NA","022 67556737, 022 67556800","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1371","Maharashtra","Mumbai","Mumbai","Seven hills Healthcare Private Limited Hospital","Blood Bank,2nd Floor, Block-16, Seven hills Hospital, Survey No.155, 156, 162 - 168 Part, Marol - Maroshi Road, Andheri(E), Mumbai","NA","022 67676767","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1372","Maharashtra","Mumbai","Mumbai","Haematology Laboratory Blood Bank","Parekh House, 14, Mama Parmanand Marg, Mumbai","400004","022 23691297,022 23610912","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1373","Maharashtra","Mumbai","Mumbai","Cumbal Hill Hospital And Heart Institute Blood Bank","93-95, August Kranti Maidan, Mumbai","400036","022 23803674,022 23803336,022 23514740 , 022 23511551","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1374","Maharashtra","Mumbai","Mumbai","Kapoorben Vasanji Lathiya Blood Bank Nanavati Hospital","Vile Parle (W), Mumbai","400056","022 26119924, 022 26182255,022 26630659","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
