h_name,address,city,district,state,lat,lng
I.N.H.S. Dhanvantri,Minni Bay,NA,Port Blair,Andaman and Nicobar Islands,11.6491442,92.717406
Pillar Health Centre,"Junglighat,Lamba Line, P.B. No.526",NA,Port Blair,Andaman and Nicobar Islands,11.6532306,92.7307157
A.P.Vidya Vidhana Parishad Community Hospital Blood Bank,Hospital Road,Gudur,Nellore,Andhra Pradesh,14.146561,79.8498809
A.S.N. Raju Charitable Trust Blood Bank,"Door No. 24-1-1, R.K. Plaza (Sarovar Complex), J.P. Road",Bhimavaram,West Godavari,Andhra Pradesh,16.543909,81.5162373
Alluri Sita Rama Raju Acadamy of Medical Sciences Blood Bank,"Ground Floor, Hospital Block, NH5",Eluru,West Godavari,Andhra Pradesh,16.737394,81.146494
Anil Neerukunda Hospital Blood Bank,"Sangi Valasa, Bheemunipatnam (M)",Visakhapatnam,Visakhapatnam,Andhra Pradesh,17.9216597,83.4264002
Apollo Hospitals Heart and Kidney Centre Blood Bank,"Apollo Hospitals Entps. , 10-50-80, Heart and Kidney Center, 1st Floor, Waltair Main Road",Visakhapatnam,Visakhapatnam,Andhra Pradesh,17.7170847,83.3092112
APVVP Area Hospital Blood Bank,"Area Hospital Premises, Ground Floor",Proddutur,Kadapa,Andhra Pradesh,14.7706897,78.5450916
APVVP Area Hospital Blood Bank,"Area Hospital Premises, Muddanoor Road, Pulivendla",Kadapa,Kadapa,Andhra Pradesh,14.6896777,78.3927547
APVVP Area Hospital Blood Bank,"APVVP Area Hospital Blood Bank, Kavali, S.P.S.R Nellore",Kavali,S.P.S.R Nellore,Andhra Pradesh,14.9133787,79.9927167
APVVP Community Hospital,Area Hospital Premises,Madanapally,Chittoor,Andhra Pradesh,13.5570309,78.5009113
APVVP District Hospital Blood Bank,"Ground Floor, Hospital Premises, Chenchupet",Tenali,Guntur,Andhra Pradesh,16.2447883,80.6377413
APVVP NT Rama Rao Vaidyalayam Blood Bank,Poolbagh Road,Anakapalle,Visakhapatnam,Andhra Pradesh,17.4092902,78.4851862
"APVVP, Area Hospital Blood Bank",NA,Nuzvid,Krishna,Andhra Pradesh,16.7849906,80.8488498
Area Hospital Blood Bank,"Near Black Bridge, Moberlipeta",Amalapuram,East Godavari,Andhra Pradesh,16.5895528,82.0089125
Arogyavaram Medical Centre Blood Bank,"Ground Floor, D.No. 16-1, Bartons Laboratory, AMC Sanitorium, Arogyavaram",Chittoor,Chittoor,Andhra Pradesh,13.5971989,78.5303757
AS Raja Voluntary Blood Bank,"AS Raja Voluntary Blood Bank, D.No. 10-50-11/7, 1st Floor, Virasi Centre, Waltair Main Road",Visakhapatnam,Visakhapatnam,Andhra Pradesh,17.7202724,83.3130487
ASN Raju Charitable Trust Blood Bank,"H.No. 15-5-4 and 16, I st and II nd Floor, Sri Satya Sai Complex, Bank Street",Palakollu,West Godavari,Andhra Pradesh,16.750981,81.684301
Aswini Hospital Blood Bank,"Ground Floor, Aswini Hospital Premises, TTD",Tirumala,Chittoor,Andhra Pradesh,13.6772962,79.3485389
Belif Blood Bank,"Sai Complex III Floor, Addanki Bus Stop Centre, Kurnool Road",Ongole,Prakasam,Andhra Pradesh,15.5101816,80.046313
Best Rotary Blood Bank,"D.No. 22-6-54, 1st Floor, Sarojininaidu Sreet, Kothapet",Tenali,Guntur,Andhra Pradesh,16.2372555,80.6472588
Bethesda Blood Bank (A Unit of Bethesda Homes Voluntary Organisation),"D.No. 29-10-2, Ground Floor, Narasimharao Naidu Street, Suryaraopet",Vijayawada,Krishna,Andhra Pradesh,38.984652,-77.0947092
Bhimavaram Hospitals Limited Blood Bank,"64/6A, 6B/7A & 7B, I st Floor, Opp. SRKR Eng. Col., Juvvalapalem Road",Bhimavaram,West Godavari,Andhra Pradesh,16.5431428,81.4964077
Blessed Blood Bank,"D.No. 5-1-45/1, 2nd Floor, Vijaya Hights Building, Palnadu Road",Narasaraopet,Guntur,Andhra Pradesh,16.2402368,80.036746
Blood Bank Aayush Hospital,"Aayush NRI LEPL Health Care Pvt. ., First Floor, D. No. 40-13-3 & 3A, Ring Road, Sri Ramachandra Nagar, Vijayawada",Vijayawada,Krishna,Andhra Pradesh,16.517483,80.675097
Boga Parvathamma Memorial Donation Service Organisation,"D.No. 7-137, Jayanagar Colony, Kadapa",Kadapa,Kadapa,Andhra Pradesh,14.4728338,78.8393953
Chaitanya Blood Bank,"D.No.40-9/1-26, Vasavya Complex, 1st floor, Vasavya Nagar, Benz circle",Vijayawada,Krishna,Andhra Pradesh,16.4987585,80.6553632
Dhanwantari Voluntary Blood Bank and Blood Components (A Division of Dhanwantari Charitable Trust),"D.No. 46-21-1, 2nd Floor & Part of 3rd Floor, Opp. Godavari Grameena Bank, Danavaipet",Rajahmundry,East Godavari district,Andhra Pradesh,17.0078706,81.7852119
District Head Quarters Hospital Blood Bank,"1 st Floor, APVVP District Head Quarters Hospital",Ongole,Prakasam,Andhra Pradesh,15.5257,80.0164999
District Co-ordinator of Hospital Services Blood Bank,"Ground Floor, District Hospital Premises",Machilipatnam,Krishna,Andhra Pradesh,16.1905457,81.1361543
District Head Quarter Hospital Blood Bank,"1st Floor, District Head Quarter Hospital Premises",Chittoor,Chittoor,Andhra Pradesh,13.217176,79.1003289
District Head Quarter Hospital Blood Bank,"Government District Hospital Premises, Ground Floor, Cantonment",Vizianagaram,Vizianagaram,Andhra Pradesh,18.1166905,83.3840286
District Hospital Blood Bank,"1st Floor, District Hospital Premises",Rajahmundry,East Godavari district,Andhra Pradesh,17.0005383,81.8040345
Dr. Anji Reddy Multispeciality Hospitals Pvt,D. No. 7-320,Piduguralla,Guntur,Andhra Pradesh,16.4787895,79.8936432
Dr. Pinnamaneni Siddartha Inst. of Medical Sci. and Res. Foundation Blood Bank,"Siddhartha Nagar Chinoutpalli (V), Gannavaram Mandal",Gannavaram Mandal,Krishna,Andhra Pradesh,16.5433135,80.7958259
DSR District Government Head Quarter Hospital Blood Bank,"Government Head Quarter Hospital Premises, Ist Floor, Nellore",Nellore,Nellore,Andhra Pradesh,14.4425987,79.986456
Fathima Institute of Medical Sciences Blood Bank,"Ramrajupally, Pulivendala Road, Kadapa",Kadapa,Kadapa,Andhra Pradesh,14.4823721,78.7897296
